Date,Close/Last,Volume,Open,High,Low
02/28/2020,$89.26,6764169,$90.03,$90.03,$86.42
02/27/2020,$91.86,5865608,$97.31,$97.51,$91.79
02/26/2020,$97.43,3258474,$98.40,$99.02,$97.39
02/25/2020,$98.17,3356560,$100.23,$100.624,$97.935
02/24/2020,$100.04,3279645,$101.63,$102.30,$100.03
02/21/2020,$101.71,3361334,$102.05,$103.14,$101.61
02/20/2020,$102.38,3344545,$102.95,$103.99,$102.04
02/19/2020,$103.50,1910110,$104.15,$104.39,$103.44
02/18/2020,$104.33,2121920,$104.08,$104.6307,$103.835
02/14/2020,$103.76,1377056,$103.15,$103.88,$102.92
02/13/2020,$102.85,2555129,$102.20,$103.18,$101.66
02/12/2020,$101.79,1503509,$101.78,$102.35,$101.35
02/11/2020,$102.22,1497982,$102.00,$102.4175,$101.76
02/10/2020,$101.92,1541038,$101.67,$101.98,$101.21
02/07/2020,$101.34,2260943,$102.04,$102.19,$101.24
02/06/2020,$102.25,2752689,$101.98,$102.72,$101.98
02/05/2020,$102.12,4064644,$102.73,$103.10,$101.97
02/04/2020,$102.87,3203280,$103.82,$104.97,$102.85
02/03/2020,$104.22,3671534,$104.47,$104.70,$103.86
01/31/2020,$104.22,2457818,$104.00,$104.43,$103.61
01/30/2020,$104.10,1952870,$102.73,$104.13,$102.405
01/29/2020,$102.81,1643627,$102.34,$103.14,$101.86
01/28/2020,$102.19,1572417,$101.83,$102.55,$101.705
01/27/2020,$101.78,2295042,$102.13,$102.75,$101.59
01/24/2020,$102.16,3189174,$100.97,$102.36,$100.7878
01/23/2020,$100.97,2402205,$100.03,$101.03,$100.01
01/22/2020,$100.00,2985088,$100.00,$100.40,$99.80
01/21/2020,$99.34,4731352,$98.81,$99.85,$98.51
01/17/2020,$98.56,4554779,$97.42,$98.66,$97.06
01/16/2020,$97.31,2175892,$96.69,$97.53,$96.64
01/15/2020,$96.60,4114385,$95.70,$96.67,$95.52
01/14/2020,$94.98,2717505,$94.55,$94.98,$94.05
01/13/2020,$94.63,2383759,$94.39,$95.1049,$94.39
01/10/2020,$94.34,1452847,$94.20,$94.66,$94.0193
01/09/2020,$93.88,2141864,$93.27,$94.135,$93.26
01/08/2020,$93.41,2245365,$93.41,$94.02,$93.18
01/07/2020,$93.69,2608662,$93.28,$93.83,$92.9376
